id,title,genres,keywords,tagline,overview,cast,director,language
85,Kavacham,Action Thriller,,,"After being framed for a kidnapping, an honest cop races against time to clear his name and catch the conspirator.",Bellamkonda Srinivas Kajal Agarwal Neil Nitin Mukesh Mehreen Pirzada Harshvardhan Rane,Sreenivas Mamilla,te
86,Bhaagamathie,Thriller Horror Crime,modern-day thriller,,"Accused of murdering her husband, IAS officer Chanchala, is taken to a haunted house called Bhaaghamathie Bungalow, where police and CBI officials interrogate her to dig up dirt on a politician she had worked under. As she's left alone in the haunted house, spirits take control of her and IAS Chanchala transforms into an unrecognisable person. How this impacts her and everyone around her forms the crux of the story.",Anushka Shetty Jayaram Asha Sarath Unni Mukundan Murali Sharma,Ashok G.,te
87,A Aa,Family Comedy Romance Drama,entertainer family relationships romance,Anasuya Ramalingam vs Anand Vihari,"The love affair, conspired by creation, between Anasuya Ramalingam and Aanand Vihari.",Nithiin Samantha Ruth Prabhu Anupama Parameswaran Naresh Nadhiya,Trivikram Srinivas,te
88,Thimmarusu: Assignment Vali,Crime Thriller,,,"After a cab driver is found dead, a young pub employee is framed for the murder and is sent to jail for 8 years. When he comes out on parole, a young lawyer takes up the case to prove his innocence.",Satyadev Kancharana Priyanka Jawalkar Ajay Brahmaji Harsha Chemudu,Sharan Koppisetty,te
89,Mosagallu,Crime Thriller,scam scam call center,The Story of The World's Biggest I.T. Scam,"Arjun and Anu are fraternal twins who manage to run a scam in the US from India via a call center. With police officer Kumar hot on their heels, will they manage to escape the system?",Vishnu Manchu Kajal Agarwal Suniel Shetty Venkatesh Navdeep,Jeffrey Gee Chin,te
90,Rangasthalam,Action Drama,period drama,,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.,Ram Charan Aadhi Pinisetty Samantha Ruth Prabhu Jagapati Babu Prakash Raj,Sukumar,te
91,Cinema Bandi,Drama Comedy,,Everyone is a filmmaker... at heart.,A struggling rickshaw driver’s life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers.,Sirivennela Yanamandhala Sandeep Varanasi Trishara Sindhu Sreenivasa Murthy Munivenkatapa,Praveen Kandregula,te
92,Sankarabharanam,Romance Drama Music,prostitute guru,,"Sankara Shastri is a devout and famous classical singer who finds a fan in Tulasi, a prostitute's daughter. She wants to devote herself to his service, but her mother wants her to become a prostitute.",Somayajulu J V Manju Bhargavi Chandramohan Rajyalakshmi Tulasi,K. Viswanath,te
93,Alexander,Action Drama,,,,Suman Talwar Vani Viswanath Kota Srinivasa Rao,K. Ranga Rao,te
94,Vinaya Vidheya Rama,Action Drama,,,"Ram is one among the five orphaned boys in Visakhapatnam, adopted by a doctor who ensures them a roof to live under, with dignity. Ram goes to any extent to protect his family and he's a handful for the baddie to handle in a time of crisis. How does Ram protect his family when they need him the most?",Ram Charan Kiara Advani Vivek Oberoi Sneha Prashanth,Boyapati Srinu,te
95,Tholi Prema,Comedy Romance,,A Jouney of Love,Aaditya  is an impulsive individual who takes decisions spontaneously and is unafraid to speak his mind. The love of his life Varsha is his extreme opposite — she chooses not to let her emotions control her actions or words. Will these two differing individuals ever make their relationship work?,Varun Tej Raashii Khanna Sapna Pabbi Priyadarshi Pullikonda Suhasini Maniratnam,Venky Atluri,te
96,Jyo Achyutananda,Drama Comedy Romance,,,"Two brothers fall in love with the same girl but she soon flies abroad for further education. Years later, the brothers, who are now married, face troubles when she suddenly returns into their lives.",Nara Rohith Naga Shaurya Regina Cassandra Tanikella Bharani Seetha,Srinivas Avasarala,te
97,Manam,Comedy Drama Fantasy Family,reincarnation karma,,"A married couple die in an accident, leaving behind a son. As he grows up and becomes successful, he comes across reincarnations of his father and mother as youngsters, and vows to bring them back together.",Nagarjuna Akkineni Nageshwara Rao Akkineni Naga Chaitanya Akkineni Shriya Saran Samantha Ruth Prabhu,Vikram Kumar,te
98,18 Pages,Romance,,,"When a heartbroken Siddhu stumbles upon a two-year-old diary, he finds himself drawn into the enigmatic world of a young woman named Nandini and falls for her.",Nikhil Siddhartha Anupama Parameswaran Dinesh Tej Sarayu Roy Ajay,Palnati Surya Pratap,te
99,Andhrawala,Action,flashback mumbai underworld violence action revenge drama,,"Shankar, leader of a labour union, is killed by a mafia don. His son Munna, who is raised by the slum dwellers, is unaware of his past. However, his enemies identify him and attempt to kill him.",N.T. Rama Rao Jr. Rakshita Sayaji Shinde Sanghavi Rahul Dev,Puri Jagannadh,te
100,Ism,Action Crime Thriller,journalist undercover chase fight action hero,,An undercover journalist finds himself hunted by corrupt politicians and the gangster whose daughter he betrayed in order to obtain evidence against him.,Kalyan Ram Aditi Arya Jagapati Babu Posani Krishna Murali Ali Basha,Puri Jagannadh,te
101,Acharya,Action Drama,,,"Acharya, a middle-aged Naxalite-turned-social reformer, launches a fight against the Endowments Department over misappropriation and embezzlement of temple funds and donations.",Chiranjeevi Ram Charan Sonu Sood Jisshu Sengupta Ajay,Koratala Siva,te
102,Next Nuvve,Comedy Horror,haunted house haunted hotel,,"Kiran and his girlfriend Smita decide to turn the former's ancestral property into a hotel to pay off their loans. They do it with the help of his father's aide Sarat and sister Rashmi . But, the house seems to be haunted, or is it really?",Aadi Saikumar Vaibhavi Shandilya Brahmaji Rashmi Gautham Jayaprakash Reddy,Prabhakar Podakandla,te
103,Fidaa,Drama Romance Comedy,village love,,Two young people embark on a winding and rocky path to love after meeting at a wedding.,Sai Pallavi Varun Tej Sai Chand Saranya Pradeep Raja Chembolu,Sekhar Kammula,te
104,Oh! Baby,Comedy Drama Fantasy Family,remake body switch,,"A 70-year-old woman transforms into her 24-year-old self after she's photographed at a studio, changing her life and those of the people around her forever.",Samantha Ruth Prabhu Lakshmi Rajendra Prasad Rao Ramesh Teja Sajja,B. V. Nandini Reddy,te
105,Sye Raa Narasimha Reddy,Drama History War,freedom fighter historical figure british colonialism colonial india 19th century history of india indian guru indian king telugu popular uprising,,"Gwalior Fort, during the Indian Rebellion of 1857. In a moment of despair, Lakshmibai, Rani of Jhansi, encourages her men by telling them the heroic story of Uyyalawada Narasimha Reddy, a brave Telugu chieftain who took up arms in 1846 to protest against the numerous arbitrariness and crimes perpetrated by the leaders and military forces of the East India Company.",Chiranjeevi Sudeep Vijay Sethupathi Ravi Kishan Jagapati Babu,Surender Reddy,te
106,Agent Sai Srinivasa Athreya,Crime Comedy Mystery,detective agency,"Sherlock Holmes is Fiction , Agent Sai Srinivasa Athreya is Original","Agent Sai Srinivasa Athreya is a brilliant, underrated detective from Nellore who runs an agency called FBI which sees no business. He gets more than what he asked for when a case happens to fall right into his lap out of nowhere.",Naveen Polishetty Shruti Sharma Ram Dutt Suhas Shredha Rajagopalan,Swaroop RSJ,te
107,HIT: The 2nd Case,Crime Thriller Action,,,"Krishna Dev aka KD, a laidback cop working in Andhra Pradesh State HIT, takes on a gruesome murder case. As KD unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close.",Adivi Sesh Meenakshi Chaudhary Komalee Prasad Maganti Srinath Rao Ramesh,Sailesh Kolanu,te
108,PSV Garuda Vega,Comedy Action Thriller,spy thriller,,"A dedicated NIA officer is torn between love for his family and his duty. On the brink of sacrificing his career for his family, he stumbles upon a plot with international ramifications. Does he stick to his decision to quit or will the call of duty prove too strong for him?",Dr. Rajasekhar Pooja Kumar Kishore Shraddha Das Ali Basha,Praveen Sattaru,te
109,Dear Comrade,Drama Action Romance,,Fight for What You Love!,A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story .,Vijay Deverakonda Rashmika Mandanna Shruti Ramachandran Suhas Raj Arjun,Bharat Kamma,te
110,FCUK: Father Chitti Umaa Kaarthik,,,,"FCUK (Father, Chitti, Umaa, Karthik) is an adult comedy that revolves around the lives of its lead characters played by Jagapathi Babu, Baby Saharshitha, Ammu Abhirami and Ram Karthik. How Chitti affects the life of everyone around her forms the tale.",Jagapati Babu Ram Karthik Ammu Abhirami Raja Ali Basha,Vidya Sagar Raju,te
111,Maaya,,,,Maaya is a business woman who abruptly begins getting fanatical dreams.. She is able see her future in her dreams. She then visits a psychologist for consultation and tells her that everything she could find in her dreams are materializing in a day or two. What happens next will blow your mind ?.,Sandhya Baayireddy Abhishek Sabbe Rohini Kumar Dustin Lee Mahima Yalavarthy,,te
112,Odela 2,,,,It tells the story of a saviour called Odela Mallanna Swamy who protects a village from evil forces.,Tamannaah Bhatia Hebah Patel Vasishta N. Simha Naga Mahesh,Ashok Teja,te
113,Akkada Ammayi Ikkada Abbayi,Romance Action,,,"Akkada Ammayi Ikkada Abbayi (Telugu: అక్కడ అమ్మాయి ఇక్కడ అబ్బాయి) is a Telugu movie released on October 11, 1996. Power Star Pawan Kalyan, the younger brother of Megastar Chiranjeevi was introduced as hero to Telugu Film Industry with this movie. It also is the first movie for the heroine Yarlagadda Supriya who is the grand-daughter of Akkineni Nageswara Rao (Hero Sumanth's Sister). Pawan Kalyan got recognition for his martial arts performed in the movie. It is directed by E.V.V. Satyanarayana and produced by Allu Aravind under Geeta Arts Banner. The music of the movie is scored by Koti.",Pawan Kalyan Supriya Yarlagadda Chandramohan Sarath Babu Brahmanandam,E.V.V. Satyanarayana,te
114,HIT: The First Case,Thriller Action Drama,hit vishwaksen,,"Vikram Rudraraju is a 30-year-old cop working for the Telangana State Police. While Vikram is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",Vishwak Sen Ruhani Sharma Murali Sharma Bhanuchander Brahmaji,Sailesh Kolanu,te
115,Shakti,Action Fantasy,daughter temple diamond fight sword son tourist guide gunfight protector adopted child journey trident ganges stabbed,,"The central minister's daughter who secretly goes on a trip is targeted by some evil Egyptians who want her and a holy diamond in their custody, while a guide gets linked to the fight as he protects her from all possible dangers.",N.T. Rama Rao Jr. Ileana D'Cruz Prabhu Sonu Sood Brahmanandam,Meher Ramesh,te
116,Magadheera,Action,,,"When Harsha, a bike stunter from Vishakapatnam, accidentally meets Indu, he discovers his warrior life Kala Bhairava in his last birth. The remaining story explains how Indu and Kala Bhairava are connected.",Ram Charan Kajal Agarwal Dev Gill Srihari Sunil Varma,S. S. Rajamouli,te
117,Shambo Shiva Shambo,Action,friendship fight society love family culture,,"Santosh, the son of a politicians, is in love with his family’s arch rival's daughter. Karunakar, Malli, and Chandu are his friends who sacrifice their dreams to help the two lovers unite. Ten days later, the married lovers give them a shock.",Ravi Teja Allari Naresh Siva Balaji Priyamani Abhinaya,Samuthirakani,te
